"ASV_id","warmed_fungi_gradient","warmed_fungi","cooled_fungi_gradient","cooled_fungi","High Control","Low Control","Mid Control","Genus","Family","Class","Order","Phylum"
439,-0.218824515160246,-0.12755744647316,0.343014119990511,NA,3.68,NA,NA,"Cadophora","Helotiales_fam_Incertae_sedis","Leotiomycetes","Helotiales","Ascomycota"
8,-0.368801060777002,-0.311088477369407,0.340987755324447,NA,5.28,NA,NA,NA,NA,NA,NA,NA
584,-0.293232682911089,-0.288838062028137,0.338450747640023,NA,5.12,NA,NA,NA,NA,NA,NA,NA
67,-0.366253321932508,-0.402692711537318,0.337754077595121,-0.116017249216329,4,1.97,NA,"Alatospora","Leotiaceae","Leotiomycetes","Helotiales","Ascomycota"
4,-0.356399224159507,-0.302543282862356,0.337206891343049,-0.0369865275586906,4.43,1.39,NA,NA,"Orbiliaceae","Orbiliomycetes","Orbiliales","Ascomycota"
339,-0.26848407623715,-0.142871791075845,0.336115130178016,0.386885204611497,3.65,3.43,4.86,"Knufia","Trichomeriaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
455,-0.34912393976931,-0.159339680395971,0.333986616580232,0.355733148792566,6.15,NA,3.91,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
188,-0.262659235579952,-0.0734265738330077,0.333249993227308,0.305300299237256,2.89,NA,NA,NA,NA,NA,NA,NA
582,-0.4354133653787,-0.434643069799199,0.332350436976453,0.218196203833391,4.51,NA,NA,NA,NA,NA,NA,NA
172,-0.363008230180347,-0.206983569734543,0.330025476816679,0.421834887092004,4.13,2.94,2.88,NA,NA,"Leotiomycetes","Helotiales","Ascomycota"
86,-0.243566914398006,-0.257506320641514,0.329183623956372,0.342081505046819,3.55,NA,1.1,NA,NA,"Dothideomycetes","Pleosporales","Ascomycota"
457,-0.22388643805334,-0.234858160822455,0.328983708296459,0.277276314629243,6.12,4.73,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
317,-0.22504315800508,-0.115869350453704,0.328755838302546,0.396827123462383,5.15,NA,NA,NA,"Verrucariaceae","Eurotiomycetes","Verrucariales","Ascomycota"
382,-0.323568225224859,-0.339217377105694,0.326767376108055,0.321834265453123,4.83,NA,NA,"Ilyonectria","Nectriaceae","Sordariomycetes","Hypocreales","Ascomycota"
285,-0.196799255293253,-0.0636312610949254,0.324525819515139,0.14192156718592,3.68,3.5,NA,NA,NA,NA,NA,NA
267,-0.289139859225652,-0.192185153875162,0.324332282781471,0.388788398664904,2.68,1.39,2.44,"Glarea","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
604,-0.308252691931236,-0.254574461296218,0.323688619411471,0.319507486745634,2.88,2.05,2.33,"Glomus","Glomeraceae","Glomeromycetes","Glomerales","Glomeromycota"
64,-0.310248502856415,-0.0202400784828189,0.323136396614552,0.369524344965877,3.06,NA,3.17,"Cladophialophora","Herpotrichiellaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
347,-0.309734309226784,-0.17522276364322,0.32248024575094,0.454586304064427,3.35,NA,NA,"Tetracladium","Helotiaceae","Leotiomycetes","Helotiales","Ascomycota"
96,-0.414862762321633,-0.328312040629078,0.315264235169832,0.214229884251843,4.84,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
183,-0.284226190330342,-0.354542759966463,0.31316753806068,0.272035012834603,4.09,3.06,6.63,NA,NA,NA,NA,NA
150,-0.418452453601537,-0.312473730030832,0.301437869710715,0.234443095252442,3.98,NA,NA,"Venturia","Venturiaceae","Dothideomycetes","Venturiales","Ascomycota"
574,-0.22969727227713,-0.14618208340738,0.300978414016627,0.128385032058432,5.22,NA,NA,"Archaeorhizomyces","Archaeorhizomycetaceae","Archaeorhizomycetes","Archaeorhizomycetales","Ascomycota"
47,-0.189486706125892,-0.0286240277562341,0.298815896578248,0.420759402554343,3.09,2.78,2.68,"Monodictys","Pleosporales_fam_Incertae_sedis","Dothideomycetes","Pleosporales","Ascomycota"
104,-0.264053994082104,0.0377993957098541,0.297913836406272,0.310556126985309,4.93,4.84,4.8,"Exophiala","Herpotrichiellaceae","Eurotiomycetes","Chaetothyriales","Ascomycota"
