"ASV_id","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria","High Control","Low Control","Mid Control","Genus","Family","Phylum","Class","Order"
"1293",-0.18,0.01,0.39,-0.26,3.12,3.26,3.26,NA,"67-14","Actinobacteria","Thermoleophilia","Solirubrobacterales"
"941",-0.24,-0.11,0.39,NA,3.02,NA,3.47,"Segetibacter","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"652",-0.3,-0.27,0.39,NA,4.75,NA,3.64,"Afipia","Xanthobacteraceae","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"1147",-0.4,-0.25,0.39,-0.28,3.39,NA,3.37,"Bryobacter","Bryobacteraceae","Acidobacteria","Acidobacteriae","Bryobacterales"
"988",-0.22,-0.12,0.39,-0.01,2.85,2.56,2.95,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"1140",-0.37,-0.27,0.39,-0.25,4.21,3.33,4.37,NA,"Gemmatimonadaceae","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales"
"915",-0.38,-0.31,0.39,0.05,3.3,2.48,3.47,"Terrimonas","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"100",-0.47,-0.39,0.39,0.12,3.49,NA,NA,NA,"WD2101 soil group","Planctomycetota","Phycisphaerae","Tepidisphaerales"
"1038",-0.23,-0.1,0.39,-0.29,4.03,NA,4.74,"RB41","Pyrinomonadaceae","Acidobacteria","Blastocatellia","Pyrinomonadales"
"1365",-0.4,-0.37,0.38,-0.21,4.24,4.06,3.45,NA,NA,"Acidobacteria","Acidobacteriae","Subgroup 2"
"1069",-0.29,-0.16,0.38,-0.13,2.99,3.04,2.66,NA,NA,"Acidobacteria","Vicinamibacteria","Vicinamibacterales"
"949",-0.31,-0.22,0.38,-0.2,3.56,NA,4.04,"Parafilimonas","Chitinophagaceae","Bacteroidota","Bacteroidia","Chitinophagales"
"308",-0.31,-0.21,0.38,-0.21,3.69,2.24,2.79,NA,"Vicinamibacteraceae","Acidobacteria","Vicinamibacteria","Vicinamibacterales"
