"species","warmed_bacteria_gradient","warmed_bacteria","cooled_bacteria_gradient","cooled_bacteria"
"1058",-0.37668801691657,-0.28514764286005,0.409186737967047,0.00804995701059561
"300",-0.41468857484367,-0.34130327235849,0.40813152641559,-0.115788315135711
"865",-0.468806198552628,-0.374290084490986,0.407035978755519,-0.364737678750117
"328",-0.324079445095675,-0.125608743105944,0.406493807466695,-0.1453282322392
"1030",-0.300456749446971,-0.283293209841468,0.406488061839972,0.0579738842910684
"1404",-0.284718884376012,-0.105173989925054,0.40602826616745,-0.00431920048586734
"1114",-0.254311881178457,-0.00316214440741984,0.404208387430512,-0.270912685572583
"1059",-0.371551225771245,-0.285787786110466,0.40389726705414,-0.244725484960471
"645",-0.28998377584209,-0.0949590701627222,0.403801387224639,-0.261512723753913
"961",-0.31423657857186,-0.09468235395935,0.402643303004417,-0.267025161792253
"595",-0.419252597564472,-0.333326856175465,0.402440901726462,-0.117013172723938
"733",-0.501767301322724,-0.461452411348579,0.400748881772532,-0.214161647020733
"1032",-0.421983001544678,-0.277254340227706,0.400308790454931,-0.415915399251953
"1134",-0.289380041406882,-0.0890134609698471,0.397753165796028,-0.310188341458748
"367",-0.379361669651312,-0.186604736183805,0.397489692659266,-0.202336514853393
"281",-0.32484296486964,-0.201203886972711,0.39666955025304,-0.350632620722245
"1126",-0.291336129046398,-0.158080003220873,0.396591248532611,-0.178083797136493
"1272",-0.407443406510817,-0.307281832832429,0.395692158986864,-0.229258898415812
"650",-0.387172743966419,-0.297222840386537,0.394497317163841,-0.235058349824623
"1293",-0.177840896577581,0.0141747781182869,0.394384245103661,-0.263825638956729
"941",-0.237412180776666,-0.107678519163906,0.392480159450565,NA
"652",-0.301577602555961,-0.266426365989222,0.391530227396476,NA
"1147",-0.401026026987508,-0.25367867583396,0.39112787597489,-0.280297170156509
"988",-0.222959392675554,-0.118427918812624,0.390870543344385,-0.0051985242486027
"1140",-0.369842192832419,-0.269428221678996,0.389270877678266,-0.246981098172094
"915",-0.384430703574401,-0.310532549723926,0.387368813973221,0.0500847694700572
"100",-0.469489890874141,-0.388424576869165,0.386867430525121,0.116953446192614
"1038",-0.227316896431637,-0.100417225687425,0.386146862138672,-0.294061049519076
"1365",-0.404003180269252,-0.366511234698283,0.381089840483872,-0.207818608744289
"1069",-0.289076191787843,-0.155671138460714,0.380852675202419,-0.132473692351669
"949",-0.314580462778417,-0.216892070244301,0.380221248564666,-0.200251967723153
"308",-0.305154892275146,-0.20636445736107,0.379490365245871,-0.209047155932527
"907",-0.305921630567719,-0.334672637965583,0.379232993782477,0.066818356993371
"280",-0.313603666906918,-0.269795917453381,0.377763499681089,-0.0757797182283106
"1332",-0.164261256658009,-0.0462799154005243,0.375963362461034,-0.215139319136083
"198",-0.141849071577844,0.0370523031868946,0.375383412986113,-0.0918533757892207
"1235",-0.28820616407478,-0.0535604309966046,0.374910211129946,-0.237282178207943
"872",0.000370200609244338,0.173142366899683,0.373504754371578,NA
"1201",-0.259359448850018,-0.0763619968103984,0.372803320177526,-0.0229984251546301
"11",-0.324621366739801,-0.0748920542802713,0.372128744079386,-0.190484909032957
"34",-0.252717679889432,-0.127383212420723,0.372033856172314,0.0579738842910684
"97",-0.430543018831666,-0.329254121762269,0.371460804647086,-0.190461343288311
"1637",-0.316206143231295,-0.0755189560377203,0.371226534056918,-0.235124262729147
