"ASV_id","High Control","Low Control","Mid Control"
"320",2.91,3.66,3.81
"321",3.27,1.7,2.26
"322",NA,4.46,3.56
"323",4.32,4.06,4.11
"324",4.84,3.51,4.27
"325",NA,4.66,3.1
"326",3.36,3.29,3.48
"327",4.59,4.41,4.37
"328",3.57,NA,4.08
"329",3.32,3.55,NA
"330",3.44,NA,4.57
"331",4.17,NA,3.5
"332",NA,3.56,NA
"333",3.53,NA,NA
"334",3.1,2.31,3.37
"335",4.37,4.51,NA
"336",4.13,NA,NA
"337",NA,3.71,NA
"338",2.83,3.39,3.76
"339",3.41,3.4,3.4
"340",3.85,3.67,4.15
"341",3.64,3.68,3.46
"342",NA,NA,3.73
"343",NA,3.43,NA
"344",2.63,3.21,NA
"345",NA,3.22,3.29
"346",3.56,3.44,3.39
"347",3.05,2.61,3.32
"348",4.48,4.06,3.96
"349",3.87,NA,3.92
"350",4.52,4.15,4.15
"351",2.4,3.77,NA
"352",1.79,2.3,2.08
"353",2.2,NA,2.56
"355",NA,3.46,NA
"356",3.17,3.64,4.14
"357",NA,3.61,NA
"358",3.64,NA,NA
"359",3.65,2.3,4.06
"360",3.74,3.54,3.9
"361",3.89,2.74,3.17
"362",4.17,4.77,3.67
"363",NA,4.41,NA
"364",3.33,4.41,4.16
"365",4.02,3.8,4.19
"367",3.88,3.89,3.83
"368",3.45,2.73,2.55
"369",3.2,NA,3.04
"370",3.44,3.14,3.26
"371",NA,2.4,NA
"372",3.33,3.67,3.48
"373",4.12,4.01,4.17
"374",NA,3.51,3.39
"375",3.46,3.48,3.56
"376",3.72,3.18,3.35
"377",3.14,NA,NA
"378",3.51,2.58,3.64
"379",4.22,3.66,4.31
"380",3.6,2.89,3.12
"381",3.45,4.26,3.86
"382",3.33,3.46,3.59
"383",3.79,3.06,3.44
"384",3.43,4.48,4.06
"385",NA,3.1,NA
"386",3.52,3.29,2.94
"387",4.32,NA,4.25
"388",2.93,3.56,3.59
"389",NA,NA,3.46
"390",2.6,3.64,3.14
"391",4.27,NA,3.83
"393",3.74,4.15,NA
"394",4.04,4.2,4.41
"395",4.52,4.39,4.3
"396",3.76,4.26,4.39
"397",2.97,3.61,2.67
"398",3.15,2.71,3.16
"399",NA,3.36,3.14
"400",4.77,4.08,4.43
"401",3.13,4.07,3.6
"402",3.36,3.23,3.43
"403",NA,3.37,3.84
"404",4.22,3.26,3.09
"405",3.99,3.64,3.29
"406",3.76,NA,3.25
"407",NA,3.71,NA
"408",3.82,NA,3.3
"409",3.93,NA,NA
"410",3.15,NA,NA
"411",NA,3.27,3.05
"412",NA,2.48,NA
"413",3.79,NA,3.33
"414",2.64,NA,NA
"415",4.01,3.82,3.9
"416",3.89,3.18,3.78
"417",NA,NA,4.47
"418",3.93,3.72,3.76
"419",3.05,2.89,3
"420",3.91,NA,NA
