"ASV_id","High Control","Low Control","Mid Control"
401,2.48,2.77,2.62
402,NA,4.3,NA
403,NA,3.36,1.24
404,2.56,NA,2.47
405,4.55,4.04,2.45
406,3.74,NA,3.41
407,NA,3.96,NA
408,NA,NA,3.89
409,1.9,NA,3.2
410,NA,2.89,4.51
411,4.14,4.07,4.4
412,NA,5.13,NA
413,3.62,4.69,3.47
414,NA,4.51,3.84
415,3.49,NA,2.81
416,5.76,4.87,4.38
417,5.47,3.68,4.34
418,1.79,NA,2.56
419,5.15,4.26,5.81
420,2.64,5.84,4.47
421,NA,4.8,NA
423,NA,3.31,3.83
424,3.22,2.3,NA
425,NA,4.43,NA
426,1.99,2.81,2.23
427,2.83,4.16,3.2
428,1.84,3.31,NA
429,1.61,3.51,2.52
430,NA,6.34,NA
431,NA,2.85,NA
432,NA,2.25,4.3
433,NA,4.87,NA
434,NA,2.08,NA
435,2.89,2.54,NA
436,2.24,3.54,NA
437,NA,4.07,NA
438,4.52,5.27,4.67
439,3.68,NA,NA
440,NA,2.96,2.77
441,2.98,4.02,NA
442,1.7,NA,2.86
443,3.82,1.78,NA
444,NA,3.01,4.84
445,4.6,NA,4.02
446,5.17,3.91,5.1
447,3.79,4.61,NA
448,NA,5.12,NA
449,4.69,NA,NA
450,5.5,NA,4.23
451,5.69,3.04,4.32
452,5.54,1.79,NA
453,6.69,4.58,2.6
454,5.46,NA,3.99
455,6.15,NA,3.91
456,NA,5.6,NA
457,6.12,4.73,NA
458,4.48,NA,6.3
459,5.84,4.67,NA
460,5.99,4.28,6.31
461,3.43,NA,NA
462,NA,NA,2.48
463,3.26,7.31,4.32
464,6.17,NA,NA
465,NA,7.04,3.85
466,5.47,5.69,NA
467,3.78,NA,3.09
468,7.07,NA,8.19
469,5.34,3.78,NA
470,5.36,3.45,2.71
471,4.79,NA,NA
472,3.66,NA,6.5
473,2.89,3.32,1.1
474,4.31,4.17,3.6
475,2.94,NA,2.4
476,NA,3.3,2.98
477,NA,2.93,3.9
478,NA,5.17,3.04
479,1.61,3.3,2.01
480,NA,3.17,NA
481,4.45,3.71,3.87
482,2.34,1.61,NA
483,NA,1.78,NA
484,2.92,3.43,4.14
485,2.61,3.87,3.3
486,3.81,3.47,3.12
487,NA,1.39,7.25
488,2.08,3.37,2.09
489,3.54,3.53,4.5
490,NA,3.37,NA
491,1.61,3.37,3.03
492,NA,4.33,NA
493,3.76,4.57,4.02
494,4.82,3.65,4.14
495,2.87,2.66,3.91
496,2.4,2.45,2.05
497,NA,3.84,NA
498,3.41,NA,4.11
499,3.17,2.4,2.76
500,2.56,3.75,2.73
501,NA,2.08,1.95
502,NA,2.37,NA
503,NA,3.69,NA
504,NA,5.12,NA
505,2.72,3.17,NA
506,NA,NA,3.58
507,NA,NA,3.3
508,5.65,4.06,4.79
509,4.08,NA,3.61
511,NA,2.48,NA
512,3.21,NA,NA
513,NA,3.47,2.2
