"turfID","year","destinationSite","treatmentOriginGroup","species","scaled"
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Lathyrus lanszwertii",0.6
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Melica spectabilis",0.25
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Poa pratensis",0.8
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Thalictrum fendleri",0.45
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Stipa nelsonii",0.55
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Tragopogon dubius",0.15
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Helianthella quinquenervis",1
"um2-5_ws_um2-5",2023,"Upper Montane","Low Control","Viola nuttallii",0.15
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Achillea millefolium",0.181818181818182
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Agoseris glauca",0.181818181818182
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Androsace septentrionalis",0.0909090909090909
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Carex sp.",0.545454545454545
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Delphinium nuttallianum",0.363636363636364
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Hydrophyllum capitatum",0.272727272727273
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Hymenoxys hoopesii",0.454545454545455
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Linum lewisii",0.181818181818182
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Mertensia fusiformis",0.272727272727273
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Poa pratensis",0.272727272727273
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Potentilla pulcherrima",1
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Stipa nelsonii",0.272727272727273
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Taraxacum officinale",0.0909090909090909
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Vicia americana",0.454545454545455
"um3-1_u_um3-1",2023,"Upper Montane","Low Control","Viola nuttallii",0.818181818181818
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Achillea millefolium",0.0212765957446809
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Artemisia tridentata",0.0212765957446809
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Castilleja sulphurea",0.0851063829787234
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Delphinium nuttallianum",0.0425531914893617
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Erythronium grandiflorum",0.106382978723404
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Helianthella quinquenervis",0.0638297872340425
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Heterotheca pumila",1
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Hymenoxys hoopesii",0.0851063829787234
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Hydrophyllum capitatum",0.0851063829787234
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Ligusticum porteri",0.0425531914893617
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Linum lewisii",0.0212765957446809
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Poa reflexa",0.0212765957446809
"um3-2_w2_mo3-3",2023,"Upper Montane","High W2","Viola nuttallii",0.0638297872340425
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Achillea millefolium",0.181818181818182
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Agoseris glauca",0.454545454545455
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Aquilegia caerulea",0.545454545454545
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Bromus carinatus",1
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Carex sp.",0.272727272727273
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Delphinium nuttallianum",0.0909090909090909
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Heliomeris multiflora",0.363636363636364
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Hymenoxys hoopesii",0.181818181818182
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Ligusticum porteri",0.636363636363636
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Linum lewisii",0.181818181818182
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Poa reflexa",0.272727272727273
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Potentilla pulcherrima",0.0909090909090909
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Stipa nelsonii",0.0909090909090909
"um3-4_w1_pf3-2",2023,"Upper Montane","Mid W1","Viola nuttallii",0.454545454545455
"um3-5_nu_um3-5",2023,"Upper Montane","Low Control","Achillea millefolium",0.2
