community,ASV_id,LogAbundance_HighControl,LogAbundance_MidControl,LogAbundance_LowControl,weight_warmed_gradient,weight_warmed_experiment,weight_cooled_gradient,weight_cooled_experiment,Genus,Family,Phylum,Class,Order
bacteria and archaea,702,NA,3.78,3.85,0.19,0.2,-0.03,0.14,Methylorosula,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,356,3.17,4.14,3.64,-0.24,-0.32,-0.03,-0.23,Acidibacter,Unknown Family,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis
bacteria and archaea,1438,3.31,3.47,NA,-0.15,-0.07,-0.03,-0.24,Actimicrobium,Oxalobacteraceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1110,2.89,3.58,3.22,0.02,0.17,-0.03,-0.12,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,1325,NA,3.75,NA,0.07,0.34,-0.03,-0.08,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,161,3.37,2.44,2.47,-0.18,-0.1,-0.03,-0.48,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,62,3.22,NA,3.28,0.01,0.03,-0.03,-0.03,NA,Sandaracinaceae,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,296,3.75,4.35,4.48,0.06,0.13,-0.03,0,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,1045,NA,4.06,3.83,0.13,0.2,-0.03,-0.06,RB41,Pyrinomonadaceae,Acidobacteria,Blastocatellia,Pyrinomonadales
bacteria and archaea,1212,3.37,NA,4.03,0.17,0.18,-0.03,0.12,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,466,4.45,4.32,4.36,0.04,0.16,-0.03,-0.26,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,431,3.76,NA,3.76,-0.06,0,-0.03,-0.03,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1541,2.79,3.19,2.95,0.11,0.2,-0.04,-0.03,NA,SC-I-84,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1292,3.58,3.64,3.73,0.05,0.01,-0.04,-0.18,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1196,3.76,NA,2.83,0.12,0.07,-0.04,-0.12,JGI 0001001-H03,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,1018,NA,3.58,3.22,0.18,0.15,-0.04,-0.05,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,336,4.13,NA,NA,-0.02,-0.03,-0.04,-0.14,Corallococcus,Myxococcaceae,Myxococcota,Myxococcia,Myxococcales
bacteria and archaea,739,3.53,3.32,3.19,0.05,0.07,-0.04,-0.07,Skermanella,Azospirillaceae,Proteobacteria,Alphaproteobacteria,Azospirillales
bacteria and archaea,966,NA,3.63,3.64,-0.03,0.04,-0.04,-0.11,Edaphobaculum,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,758,3.69,3.42,3.19,0.03,0.1,-0.04,-0.16,Arenimonas,Xanthomonadaceae,Proteobacteria,Gammaproteobacteria,Xanthomonadales
bacteria and archaea,777,3.4,3.86,3.6,0.32,0.39,-0.04,0.03,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,1305,3.26,3.55,3.73,-0.02,-0.04,-0.04,-0.2,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,855,3.74,4.08,3.75,-0.13,-0.23,-0.04,-0.26,Subgroup 10,Thermoanaerobaculaceae,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales
bacteria and archaea,291,3.98,4.12,4.11,-0.07,-0.01,-0.04,-0.23,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,744,3.82,3.68,3.74,0.04,0.08,-0.04,-0.06,Devosia,Devosiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,699,2.83,2.89,3.11,-0.05,0.12,-0.04,-0.11,NA,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,1187,3.8,NA,3.95,0.13,0.08,-0.04,-0.01,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,918,NA,NA,2.56,0.19,0.28,-0.04,-0.16,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,102,3.27,3.72,3.42,0.06,0.16,-0.04,-0.21,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,264,3.22,NA,3.47,-0.08,-0.23,-0.04,-0.17,Opitutus,Opitutaceae,Verrucomicrobiota,Verrucomicrobiae,Opitutales
bacteria and archaea,248,3.02,3.42,3.09,0.15,0.08,-0.04,-0.04,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,230,NA,4.06,4.04,0.01,0.12,-0.04,-0.2,NA,NA,WPS-2,NA,NA
bacteria and archaea,1217,NA,3.26,3.41,-0.05,NA,-0.04,-0.15,NA,Micrococcaceae,Actinobacteria,Actinobacteria,Micrococcales
bacteria and archaea,1622,2.71,3.21,2.89,0.08,0,-0.04,-0.02,Bacillus,Bacillaceae,Firmicutes,Bacilli,Bacillales
bacteria and archaea,1472,NA,3.85,4.13,-0.09,NA,-0.04,-0.27,Conexibacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,174,NA,2.6,NA,0.13,0.29,-0.04,-0.28,NA,env.OPS 17,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,448,4.1,4.23,3.99,0.02,0.09,-0.04,-0.12,Chthoniobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,880,3.51,NA,3.87,0.11,0.24,-0.04,-0.14,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,1192,3.28,3.8,4.11,0.14,0.24,-0.04,-0.1,JGI 0001001-H03,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,71,3.81,3.36,3.41,-0.07,-0.05,-0.04,-0.1,NA,BIrii41,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,817,4.09,4.22,4.34,0.08,0.09,-0.04,-0.1,Pedobacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,692,3.78,3.93,4.06,0.2,0.29,-0.04,-0.17,Phenylobacterium,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,1177,NA,3.58,NA,0.02,0.08,-0.04,-0.16,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,1155,3.26,3.65,3.31,0,0.08,-0.04,-0.33,Candidatus Solibacter,Solibacteraceae,Acidobacteria,Acidobacteriae,Solibacterales
bacteria and archaea,195,3.56,3.96,3.62,-0.03,-0.05,-0.04,-0.13,NA,Mitochondria,Proteobacteria,Alphaproteobacteria,Rickettsiales
bacteria and archaea,1421,4.32,3.83,3.7,0.12,0.15,-0.04,0.03,Aeromicrobium,Nocardioidaceae,Actinobacteria,Actinobacteria,Propionibacteriales
bacteria and archaea,157,3.74,NA,3.2,-0.07,-0.18,-0.04,-0.21,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,1564,2.89,3.12,3.15,0.05,0.21,-0.05,-0.09,Nitrosospira,Nitrosomonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,86,3.45,NA,NA,-0.17,-0.17,-0.05,0.02,NA,WD2101 soil group,Planctomycetota,Phycisphaerae,Tepidisphaerales
bacteria and archaea,1632,3.23,3,2.92,0.12,0.09,-0.05,0.03,NA,NA,Chloroflexi,KD4-96,NA
bacteria and archaea,1072,NA,3.81,3.36,0.11,0.16,-0.05,-0.01,NA,NA,Acidobacteria,Subgroup 5,NA
bacteria and archaea,374,NA,3.39,3.51,0.1,NA,-0.05,0.31,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,1298,NA,3.5,NA,0.15,0.24,-0.05,-0.03,Paenibacillus,Paenibacillaceae,Firmicutes,Bacilli,Paenibacillales
bacteria and archaea,707,4.01,3.89,4.22,0.17,0.22,-0.05,0.24,Microvirga,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1481,4.18,4.34,4.13,0.11,0.11,-0.05,0.1,Modestobacter,Geodermatophilaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,165,3.22,2.8,2.81,-0.02,0.07,-0.05,-0.24,NA,Pirellulaceae,Planctomycetota,Planctomycetes,Pirellulales
bacteria and archaea,1207,4.8,3.89,3.14,-0.04,0.03,-0.05,-0.08,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1615,3.72,4.42,4.1,0.06,0.14,-0.05,-0.17,Nocardioides,Nocardioidaceae,Actinobacteria,Actinobacteria,Propionibacteriales
bacteria and archaea,435,3.49,3.26,3.28,0.05,0.08,-0.05,-0.07,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,805,4.79,NA,3.14,-0.06,-0.13,-0.05,0.1,Flavobacterium,Flavobacteriaceae,Bacteroidota,Bacteroidia,Flavobacteriales
bacteria and archaea,783,3.71,4.01,4.06,-0.03,0.03,-0.05,-0.14,NA,NA,Acidobacteria,Acidobacteriae,Acidobacteriales
bacteria and archaea,63,2.71,NA,NA,0.09,0.11,-0.05,-0.19,NA,Sandaracinaceae,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,171,NA,2.69,2.24,0.01,0.15,-0.05,-0.33,NA,NA,Planctomycetota,Planctomycetes,Planctomycetales
bacteria and archaea,1203,3.87,3.39,3.84,-0.02,-0.02,-0.05,-0.1,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,5,3.85,3.99,3.15,-0.02,-0.2,-0.05,0.05,NA,Anaerolineaceae,Chloroflexi,Anaerolineae,Anaerolineales
bacteria and archaea,528,3.45,3.19,3.17,-0.1,-0.2,-0.05,-0.17,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,933,2.97,3.28,3.26,0.13,0.13,-0.05,-0.1,Ferruginibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1085,4.83,4.87,4.99,0.06,0.22,-0.05,-0.14,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,735,3.39,3.4,3.7,0.13,0.04,-0.05,-0.02,Roseiarcus,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,297,3.57,4.37,3.96,-0.19,-0.16,-0.06,-0.29,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,32,3,NA,3.18,-0.14,-0.07,-0.06,-0.05,NA,NA,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,1281,3,3.4,3.62,0.12,0.18,-0.06,0.04,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,502,NA,3.91,3.6,0.01,NA,-0.06,-0.18,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1659,3.47,3.34,2.7,0.16,0.32,-0.06,0.02,NA,NA,Chloroflexi,Dehalococcoidia,S085
bacteria and archaea,640,4.14,NA,NA,0.04,0.03,-0.06,0.01,Bosea,Beijerinckiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1106,4.41,4.3,4.07,-0.15,0.01,-0.06,-0.18,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,168,4.08,4.02,3.56,0.08,0.17,-0.06,-0.23,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,946,NA,3.33,3.55,0.28,0.37,-0.06,-0.22,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1494,3.14,4.16,NA,0.14,0.2,-0.06,-0.03,NA,NA,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,178,NA,NA,NA,0.09,0.14,-0.06,-0.18,NA,env.OPS 17,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,143,4.02,4.06,3.87,0.06,0.05,-0.06,-0.3,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,445,3.7,NA,3.66,0.02,0,-0.06,-0.05,NA,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,189,2.39,NA,1.39,0,-0.05,-0.06,-0.17,Tychonema CCAP 1459-11B,Phormidiaceae,Cyanobacteria,Cyanobacteriia,Cyanobacteriales
bacteria and archaea,150,3,3.4,2.9,0.06,0.03,-0.06,-0.1,Fimbriiglobus,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,125,3.43,3,3.04,0.16,0.21,-0.06,-0.08,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,991,NA,NA,3.35,0.22,0.11,-0.06,-0.01,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,825,3.66,3.97,3.89,0.02,-0.09,-0.06,-0.09,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,1440,4,3.82,3.68,0.1,0.22,-0.06,-0.34,Caenimonas,Comamonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1330,4.61,4.37,4.71,0.07,0.1,-0.06,-0.26,Gaiella,Gaiellaceae,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,420,3.91,NA,NA,-0.09,-0.03,-0.06,-0.14,ADurb.Bin063-1,Pedosphaeraceae,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales
bacteria and archaea,240,NA,NA,3.92,0.08,0.17,-0.06,-0.27,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,1081,3.81,NA,2.71,-0.1,-0.13,-0.06,-0.16,NA,NA,Acidobacteria,Vicinamibacteria,Vicinamibacterales
bacteria and archaea,888,2.48,3.44,3.2,0.14,0.23,-0.06,0.08,Polymorphobacter,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,262,3.11,NA,3.09,0.14,0.24,-0.06,-0.24,Opitutus,Opitutaceae,Verrucomicrobiota,Verrucomicrobiae,Opitutales
bacteria and archaea,16,4.59,4.21,4.74,-0.1,-0.1,-0.06,-0.25,Acidothermus,Acidothermaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,815,3.53,NA,2.89,0.1,0.13,-0.06,-0.09,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,265,3.16,3.3,2.08,-0.19,-0.14,-0.06,-0.21,Lacunisphaera,Opitutaceae,Verrucomicrobiota,Verrucomicrobiae,Opitutales
bacteria and archaea,601,3.38,3.32,3.56,-0.16,-0.18,-0.06,-0.25,NA,NA,Proteobacteria,Alphaproteobacteria,Elsterales
bacteria and archaea,1349,2.83,NA,3.4,0,-0.06,-0.06,0.08,NA,NA,Actinobacteria,Thermoleophilia,Gaiellales
bacteria and archaea,1170,NA,3.73,3.23,0.27,0.34,-0.06,0.05,Bryobacter,Bryobacteraceae,Acidobacteria,Acidobacteriae,Bryobacterales
bacteria and archaea,258,4.29,4.22,3.47,-0.04,0.04,-0.07,-0.08,Opitutus,Opitutaceae,Verrucomicrobiota,Verrucomicrobiae,Opitutales
bacteria and archaea,31,3.18,3.74,3.43,0.18,0.26,-0.07,0.05,NA,NA,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,1466,4.86,4.48,4.03,-0.01,0.03,-0.07,-0.07,Galbitalea,Microbacteriaceae,Actinobacteria,Actinobacteria,Micrococcales
bacteria and archaea,67,NA,3.22,3.43,-0.02,0.04,-0.07,-0.24,NA,BIrii41,Myxococcota,Polyangia,Polyangiales
bacteria and archaea,1468,2.46,3,2.61,0.03,-0.01,-0.07,0.01,Rhodococcus,Nocardiaceae,Actinobacteria,Actinobacteria,Corynebacteriales
bacteria and archaea,958,NA,2.87,3.14,0.18,0.23,-0.07,0.2,Ferruginibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1129,NA,3.84,3.89,0.24,0.33,-0.07,-0.09,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,816,NA,3.52,3.33,0.12,0.26,-0.07,0.05,Pedobacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,200,3.3,3.04,NA,-0.14,-0.11,-0.07,-0.11,Micromonospora,Micromonosporaceae,Actinobacteria,Actinobacteria,Micromonosporales
bacteria and archaea,360,3.74,3.9,3.54,0,-0.06,-0.07,0.04,Acidibacter,Unknown Family,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis
bacteria and archaea,879,3.26,3.66,4.22,0.2,0.29,-0.07,-0.05,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,682,NA,NA,NA,0.12,0.16,-0.07,-0.11,NA,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,757,2.95,2.56,2.96,0.11,0.21,-0.07,-0.19,NA,Xanthomonadaceae,Proteobacteria,Gammaproteobacteria,Xanthomonadales
bacteria and archaea,982,4.61,4.63,4.31,0.01,0.06,-0.07,-0.22,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,804,4.23,3.6,4.66,0.07,0.09,-0.07,0.16,Flavobacterium,Flavobacteriaceae,Bacteroidota,Bacteroidia,Flavobacteriales
bacteria and archaea,1357,3.19,3.43,3.45,0.14,0.37,-0.07,-0.33,1921-3,Ktedonobacteraceae,Chloroflexi,Ktedonobacteria,Ktedonobacterales
bacteria and archaea,948,3.89,4.26,4.06,0.08,0.21,-0.07,-0.2,Segetibacter,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,542,4.31,4.28,3.89,-0.09,-0.12,-0.07,-0.05,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1458,4.89,4.89,4.63,0.04,0.19,-0.07,-0.15,Massilia,Oxalobacteraceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1487,3.33,3.57,4,0.17,0.28,-0.07,-0.09,Modestobacter,Geodermatophilaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,575,2.56,3.23,2.75,0.11,0.08,-0.07,-0.08,NA,Nitrososphaeraceae,Crenarchaeota,Nitrososphaeria,Nitrososphaerales
bacteria and archaea,750,4.65,NA,NA,0,0.05,-0.07,-0.17,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,1522,2.56,3.25,3.21,0.13,0.28,-0.08,0.06,NA,A21b,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,1414,NA,3.64,NA,0,0.11,-0.08,-0.18,Mycobacterium,Mycobacteriaceae,Actinobacteria,Actinobacteria,Corynebacteriales
bacteria and archaea,309,4.31,4.05,3.9,-0.01,-0.01,-0.08,-0.21,NA,NA,Acidobacteria,Holophagae,Subgroup 7
bacteria and archaea,897,NA,NA,NA,0.09,0.14,-0.08,-0.03,Cellvibrio,Cellvibrionaceae,Proteobacteria,Gammaproteobacteria,Cellvibrionales
bacteria and archaea,1224,NA,3.2,3.34,0.14,0.25,-0.08,-0.16,Actinoallomurus,Thermomonosporaceae,Actinobacteria,Actinobacteria,Streptosporangiales
bacteria and archaea,965,NA,3.04,NA,0.21,0.33,-0.08,-0.11,Edaphobaculum,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,197,4.23,3.7,3.67,0.07,0.12,-0.08,-0.26,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,1228,1.79,3.49,3.18,-0.01,0.12,-0.08,-0.35,Acidothermus,Acidothermaceae,Actinobacteria,Actinobacteria,Frankiales
bacteria and archaea,1026,NA,4.04,3.3,0.13,0.21,-0.08,0.19,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,753,3.63,3.78,3.85,0,0.01,-0.08,-0.2,Dokdonella,Rhodanobacteraceae,Proteobacteria,Gammaproteobacteria,Xanthomonadales
bacteria and archaea,516,4.34,4.07,4.2,0.11,0.27,-0.08,-0.24,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,1200,3.71,3.29,3.16,0.09,0.13,-0.08,-0.08,Stenotrophobacter,Blastocatellaceae,Acidobacteria,Blastocatellia,Blastocatellales
bacteria and archaea,1469,NA,4.11,3.81,0.08,0.24,-0.08,-0.06,NA,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,148,3.26,3.76,3.21,0.15,0.24,-0.08,-0.15,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,827,3.05,3.14,3.22,0.13,0.1,-0.08,0.12,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,876,3.14,NA,4.44,0.22,0.21,-0.08,0.21,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,172,NA,4.28,2.4,0.16,0.27,-0.08,-0.06,NA,env.OPS 17,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,751,NA,3.53,NA,-0.03,0.11,-0.08,0.1,Haliangium,Haliangiaceae,Myxococcota,Polyangia,Haliangiales
bacteria and archaea,228,2.6,3.29,3.37,0.03,0.03,-0.08,-0.15,NA,NA,Actinobacteria,MB-A2-108,NA
bacteria and archaea,636,4.03,3.56,3.32,0.01,-0.13,-0.08,-0.23,NA,Amb-16S-1323,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,863,3.64,2.77,2.5,0.01,0.01,-0.08,-0.08,Rhizorhapis,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,179,NA,3.53,NA,0.11,0.25,-0.08,-0.11,NA,env.OPS 17,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,845,NA,2.83,3,0.14,0.22,-0.08,-0.16,Altererythrobacter,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,857,2.4,2.83,4.03,-0.02,-0.07,-0.08,0.15,Subgroup 10,Thermoanaerobaculaceae,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales
bacteria and archaea,26,2.87,NA,2.22,0.14,0.19,-0.08,-0.25,Iamia,Iamiaceae,Actinobacteria,Acidimicrobiia,Microtrichales
bacteria and archaea,1403,NA,4.17,3.71,0.21,0.21,-0.08,-0.04,Solirubrobacter,Solirubrobacteraceae,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,1133,NA,3,3.47,0.2,0.21,-0.09,0.17,NA,Gemmatimonadaceae,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales
bacteria and archaea,426,3.04,4.14,3.52,0.07,0.13,-0.09,-0.11,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,425,4.33,NA,3.85,0.08,-0.06,-0.09,0,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,821,NA,3.97,3.56,0.22,0.33,-0.09,-0.04,Mucilaginibacter,Sphingobacteriaceae,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,120,3.29,3.46,3.66,0.04,0.15,-0.09,-0.13,NA,Gemmataceae,Planctomycetota,Planctomycetes,Gemmatales
bacteria and archaea,746,NA,3.5,3.81,-0.03,-0.04,-0.09,0.07,Devosia,Devosiaceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,1420,NA,3,3.95,0.1,0.1,-0.09,0.04,Aeromicrobium,Nocardioidaceae,Actinobacteria,Actinobacteria,Propionibacteriales
bacteria and archaea,1623,3.37,3.45,3.32,0.05,0.05,-0.09,0.02,Psychrobacillus,Planococcaceae,Firmicutes,Bacilli,Bacillales
bacteria and archaea,239,NA,3.4,3.83,0.05,0.22,-0.09,-0.26,NA,NA,Acidobacteria,Acidobacteriae,Subgroup 2
bacteria and archaea,587,NA,2.8,2.18,0.19,0.3,-0.09,-0.14,NA,env.OPS 17,Bacteroidota,Bacteroidia,Sphingobacteriales
bacteria and archaea,829,2.43,2.89,2.89,0.17,0.19,-0.09,-0.17,Sphingomonas,Sphingomonadaceae,Proteobacteria,Alphaproteobacteria,Sphingomonadales
bacteria and archaea,765,3.2,3.51,3.36,-0.02,-0.03,-0.09,-0.08,NA,Rhodanobacteraceae,Proteobacteria,Gammaproteobacteria,Xanthomonadales
bacteria and archaea,1291,NA,NA,3.87,0.13,0.17,-0.09,0.01,NA,67-14,Actinobacteria,Thermoleophilia,Solirubrobacterales
bacteria and archaea,691,NA,NA,2.28,0.3,0.34,-0.09,-0.22,Phenylobacterium,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,531,3.91,3.7,4.23,0.03,0,-0.09,-0.14,Candidatus Udaeobacter,Chthoniobacteraceae,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales
bacteria and archaea,619,4.5,4.62,4.68,-0.03,-0.11,-0.09,-0.13,NA,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
bacteria and archaea,683,2.39,2.68,3.56,0.07,0.1,-0.09,-0.01,Brevundimonas,Caulobacteraceae,Proteobacteria,Alphaproteobacteria,Caulobacterales
bacteria and archaea,1239,2.75,3.62,3.23,-0.03,0.02,-0.09,-0.31,NA,NA,Chloroflexi,AD3,NA
bacteria and archaea,1222,4.18,4.29,4.04,0.23,0.32,-0.09,-0.24,Streptomyces,Streptomycetaceae,Actinobacteria,Actinobacteria,Streptomycetales
bacteria and archaea,963,NA,3.51,2.91,0.13,0.19,-0.09,0.15,Edaphobaculum,Chitinophagaceae,Bacteroidota,Bacteroidia,Chitinophagales
bacteria and archaea,1531,3.37,NA,NA,-0.29,-0.25,-0.09,-0.13,Rhodoferax,Comamonadaceae,Proteobacteria,Gammaproteobacteria,Burkholderiales
bacteria and archaea,660,3.58,4.22,3.55,0.17,0.19,-0.09,-0.12,Tardiphaga,Xanthobacteraceae,Proteobacteria,Alphaproteobacteria,Rhizobiales
