Community,Taxon ID,Taxon name,Phylum,Family,Control measure,High control,Mid control,Low control,Warmed gradient PRC weight,Warmed experiment PRC weight,Cooled gradient PRC weight,Cooled experiment PRC weight,Selected among top 15 for
Bacteria/Archaea,470,Candidatus Udaeobacter,Verrucomicrobiota,Chthoniobacteraceae,Mean log-transformed abundance,NA,4.41,4.7,0.32,0.25,-0.49,-0.07,Cooled gradient
Bacteria/Archaea,505,Candidatus Udaeobacter,Verrucomicrobiota,Chthoniobacteraceae,Mean log-transformed abundance,5.59,4.98,4.85,-0.49,-0.41,0.34,-0.29,Warmed gradient
Bacteria/Archaea,1064,RB41,Acidobacteria,Pyrinomonadaceae,Mean log-transformed abundance,3.98,4.27,NA,-0.48,-0.32,0.48,-0.2,Cooled gradient
Bacteria/Archaea,161,NA,Planctomycetota,Gemmataceae,Mean log-transformed abundance,3.37,2.44,2.47,-0.18,-0.1,-0.03,-0.48,Cooled experiment
Bacteria/Archaea,383,NA,Acidobacteria,NA,Mean log-transformed abundance,3.79,3.44,3.06,-0.46,-0.48,0.2,-0.45,Warmed experiment; Cooled experiment
Bacteria/Archaea,110,Gemmata,Planctomycetota,Gemmataceae,Mean log-transformed abundance,4.27,NA,3.5,-0.3,-0.47,0.18,-0.2,Warmed experiment
Bacteria/Archaea,416,ADurb.Bin063-1,Verrucomicrobiota,Pedosphaeraceae,Mean log-transformed abundance,3.89,3.78,3.18,-0.39,-0.47,0.26,-0.18,Warmed experiment
Bacteria/Archaea,9,NA,Latescibacterota,NA,Mean log-transformed abundance,3.23,2.83,2.57,-0.46,-0.47,0.28,-0.17,Warmed experiment
Bacteria/Archaea,12,NA,Actinobacteria,Ilumatobacteraceae,Mean log-transformed abundance,3.22,2.99,2.67,-0.46,-0.26,0.44,-0.44,Cooled experiment
Bacteria/Archaea,1307,NA,Actinobacteria,NA,Mean log-transformed abundance,3.72,4.11,3.78,-0.31,0,0.44,-0.46,Cooled experiment
Bacteria/Archaea,376,Anaeromyxobacter,Myxococcota,Anaeromyxobacteraceae,Mean log-transformed abundance,3.72,3.35,3.18,-0.36,-0.16,0.18,-0.46,Cooled experiment
Bacteria/Archaea,1098,NA,Acidobacteria,NA,Mean log-transformed abundance,4.46,4.02,3.25,-0.37,-0.15,0.44,-0.43,Cooled experiment
Bacteria/Archaea,244,NA,NA,NA,Mean log-transformed abundance,2.81,2.99,2.9,-0.31,-0.22,0.17,-0.44,Cooled experiment
Bacteria/Archaea,339,Anaeromyxobacter,Myxococcota,Anaeromyxobacteraceae,Mean log-transformed abundance,3.41,3.4,3.4,-0.33,-0.1,0.44,-0.43,Cooled experiment
