turfID,destinationSite,originSite,treatment,treatmentOrigin,treatmentOriginGroup,originSiteBlock
um5-1_ws_um5-1,Upper Montane,Upper Montane,within site transplant,within site transplant Upper Montane,Low Control,Upper Montane5
um5-2_nu_um5-2,Upper Montane,Upper Montane,netted untouched,netted untouched Upper Montane,Low Control,Upper Montane5
um5-3_u_um5-3,Upper Montane,Upper Montane,untouched,untouched Upper Montane,Low Control,Upper Montane5
um5-4_w1_pf5-3,Upper Montane,Pfeiler,warmed one step,warmed one step Pfeiler,Mid W1,Pfeiler5
um5-5_w2_mo5-2,Upper Montane,Monument,warmed two steps,warmed two steps Monument,High W2,Monument5
pf1-1_nu_pf1-1,Pfeiler,Pfeiler,netted untouched,netted untouched Pfeiler,Mid Control,Pfeiler1
pf1-2_u_pf1-2,Pfeiler,Pfeiler,untouched,untouched Pfeiler,Mid Control,Pfeiler1
pf1-3_ws_pf1-5,Pfeiler,Pfeiler,within site transplant,within site transplant Pfeiler,Mid Control,Pfeiler1
pf1-4_c1_um1-5,Pfeiler,Upper Montane,cooled one step,cooled one step Upper Montane,Low C1,Upper Montane1
pf1-5_w1_mo1-1,Pfeiler,Monument,warmed one step,warmed one step Monument,High W1,Monument1
pf2-1_nu_pf2-1,Pfeiler,Pfeiler,netted untouched,netted untouched Pfeiler,Mid Control,Pfeiler2
pf2-2_c1_um2-1,Pfeiler,Upper Montane,cooled one step,cooled one step Upper Montane,Low C1,Upper Montane2
pf2-3_w1_mo2-5,Pfeiler,Monument,warmed one step,warmed one step Monument,High W1,Monument2
pf2-4_u_pf2-4,Pfeiler,Pfeiler,untouched,untouched Pfeiler,Mid Control,Pfeiler2
pf2-5_ws_pf2-2,Pfeiler,Pfeiler,within site transplant,within site transplant Pfeiler,Mid Control,Pfeiler2
pf3-1_nu_pf3-1,Pfeiler,Pfeiler,netted untouched,netted untouched Pfeiler,Mid Control,Pfeiler3
