turfID,originSite,destinationSite,destinationPlotID,originPlotID,treatment,treatmentOrigin,treatmentOriginGroup,year,date_yyyymmdd,functionalGroup,unknownMorpho,species,percentCover,occurrenceCount,comments,X1_1,X1_2,X1_3,X1_4,X1_5,X2_1,X2_2,X2_3,X2_4,X2_5,X3_1,X3_2,X3_3,X3_4,X3_5,X4_1,X4_2,X4_3,X4_4,X4_5,X5_1,X5_2,X5_3,X5_4,X5_5
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Boechera stricta,Boechera stricta,1,4,,,,,,,,,,,,,S,,,,,S,,,,F,,,,F
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Delphinium nuttallianum,Delphinium nuttallianum,1,1,,,,,,,,,,,,S,,,,,,,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Androsace septentrionalis,Androsace septentrionalis,1,1,,,,,,,,,,,,,,,,,,F,,,,,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Poa pratensis,Poa pratensis,1,1,,,,,,,,,,,,,,,,,,,,,,F,,,,
um1-5_w1_pf1-4,Pfeiler,Upper Montane,um1-5,pf1-4,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Achillea millefolium,Achillea millefolium,1,1,,,,,,,,,,,,,,,,,,,,,,,,S,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Achillea millefolium,Achillea millefolium,1,1,,,,,,,,,,,S,,,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Bromus carinatus,Bromus carinatus,1,2,"Changed from sterile Elymus repens to sterile Bromus carinatus in 4-3 because saw as Fertile Bromus on July 22. Added to 4-4 on 7-28, but not fertile so uncertain.",,,,,,,,,,,,,,,,,,S,S,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,graminoid,Elymus repens,Elymus repens,1,3,Verified in 1-4 on 7-28.,,,,S,,,,,,,,F,,,,S,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Helianthella quinquenervis,Helianthella quinquenervis,1,1,,,,,,,,,,,S,,,,,,,,,,,,,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Heliomeris multiflora,Heliomeris multiflora,4,14,,,,S,,,S,S,S,,S,S,S,S,,S,S,S,,,SE,S,S,,,
um2-1_w1_pf2-5,Pfeiler,Upper Montane,um2-1,pf2-5,warmed one step,warmed one step Pfeiler,Mid W1,2019,20190708,forb,Ligusticum porteri,Ligusticum porteri,1,2,,,,S,,,,,S,,,,,,,,,,,,,,,,,
